Scammer Name,Platform,X Handle,Telegram Channel,Victims Count,Total Lost USD,Verification Level,Scam Type,Last Updated,Notes,Wallet Address,Evidence Links,Scan Date,Scanner,Additional Notes
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,4nugLihEGdfz9ccg47YSjqtpWzQGmav75CtPhyq9Z32F,
AGENTIC (AGENTIC github.com/transitive-bullshit/AGENTIC),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xDfa4c16fb6df2c17934B98717b388Dc8868bFB4E,
AGENTIC (Agentic RTS Playcoin),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,2MsTTkpg6tFMXcqBLoQooPtBRGGB7k73byt2w5QvKYYs,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x444478A8bCc2C7525fA5cC7aF8243425f4107C2D:4meme,
AGBETS (AgenticBets),Solana Token,@AGBETS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x9b2a0a54f851edd8241717a77a5cd5fad1f688770f2435cd77bfd46cc71b6b30,
LOOP (Agentic Loopholes),Solana Token,@LOOP,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,A9A7PZyN3eP1YXELPmM4Yq9XB7S4cpygKu6VyzXrhvHC,
AGBETS (AgenticBets),Solana Token,@AGBETS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x650d4d553474297ed3e5dc3749b2888933579c9434579d57a049c9c6897c2c55,
ROME (ROMEisObviouslyanAgenticModEl),Solana Token,@ROME,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,DtjSTSvi3dnocqPJnACAwNC1aVAKpKg2r5mbQqKpBiMP,
LENS (Lens Agentic),Solana Token,@LENS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,D4RSDw6h65p3qsC8pnsvckSkfUh3mqmWeJxckFswhyCG,
ROME (ROMEisObviouslyanAgenticModEl),Solana Token,@ROME,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,9e269VmfKN6DQuBMxA5WZYMEpDoAFh67yQVmDBERfKEQ,
AGENTIC CZ (Agentic CZ),Solana Token,@AGENTIC CZ,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xC09EF8019961D140329ec937F18c33A2a701B00F,
WFUND (World Agentic Fund),Solana Token,@WFUND,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x55FcAa62bA5fa9FE50f48c5508168b253c2312e7,
AGBETS (AgenticBets),Solana Token,@AGBETS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x584afc04930c62fe900fd9d78d411848fb37621ebf47cc870468e1d3f319d545,
AIM (agentic internet markets),Solana Token,@AIM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,AF5XqQo77g3ZYcsEjJuPf2s6gfoVFt9NSyDyWicdtt34,
AGENTICBOY (The Agentic Boy),Solana Token,@AGENTICBOY,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,mnp9TcedReZWEymdhexLpkNPkECYCmMbEs82ZNhchEp,
ATT (Agentic Test Token),Solana Token,@ATT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,6ao66f8AEW1JFWGwmmMZ2G8EKVPiNJd3C9AZSSSyxSqB,
AGENTICTHI (agenticthinking),Solana Token,@AGENTICTHI,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,F9Hcv7kcPsDNXX421KPLDWF38w2RRNxzerTTcUBveyFb,
AMY (Agentic AGI Agent),Solana Token,@AMY,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,5RjAoFQHfvvrN41ammy1ctJMvAwKWaPecUrGh9ETXG5N,
LOBSTERCOR (Agentic Hedge Fund),Solana Token,@LOBSTERCOR,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,7teMtFPRFWpnfQ8guhFetgQ2cVQpPrsKPqbXNC9f6Aqq,
AOE (Agentic Open Economy),Solana Token,@AOE,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x92790eB5b0019101243c6A1Bf57CEeac597bAe8f,
CREAO (BACKROOMS AGENTIC TERMINAL),Solana Token,@CREAO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,C6rpDwi6Dc1geAKYxNrY2bzoYg5EM6zFWxsEQHxCv99W,
LOBSTERCOR (Agentic Hedge Fund),Solana Token,@LOBSTERCOR,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,9F5z8uQrU8SaEYjC28tqinv6B1w7AtVyanXmiTY3w1HH,
ACM (Agentic Capital Markets),Solana Token,@ACM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,DLfUxheTWZvUqknazZCkDqQ79RTdQ96b7tcia16nQsuG,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,hVcUcM5zBRPai8gd4EeDypNnNPwuihecYaYR9HMBCCj,
BRO (Neurobro by Virtuals),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x932a65f4E1F12c969F0e0636097e094d69a89aC3,
BRO (My Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x8B60Ebf60f36D4adebe64f2eec3c5776C913be43,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x649e99266B716E6305313d37A99799bEDA6040CE,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x4c65cBD77e93e5547B65aa11291c7dcf6EA60822,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x54b806A891423A5Df2F3B4Ac97CC2d981335e964,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xc71d381833cD81fddE68F7FcE85525E8dbb0F1a9,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xc7adBdb11A0c6Db9B5005dbE6037C8a7fEbd35E6,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xe889f387bA9FE422235b7B296627F12609e1841F,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x9503De95eEF3047e9E48B2059b80Ef47a42517f0,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x5Ce2E1B0d987E17ceec95363bD2097855B1940c1,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x90C809CeC4B83C4809100E91024cEac603Ff12C6,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xb1705734c69E41429E1dba3C0Ed72632265Ba6bF,
BRO (My Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x1786cE01299879E859a2d9F0E7b0F9afbE877943,
BRO (bro the cat),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,84wGswWhiz7Cw7Pd1NRZ9toHUNiRkJxqq8d8FR8WPtPo,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,CWkrU5Rx5Wa1gxRN6HZ6LwQ5K5DudyRu5pFB7iY13Mis,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,A7kJvSaZGWL4XS3mUVKtCtb6HhwVnnJUshH7ZLso3NcM,
BRO (DexBrowser),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x08F93eBb5936624B027EbB6d065eEb4aE6dE1849,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,H3MdNJTR6GoKuDBBfkbnwwFwEVNUCfB6TYM9tPaeknQJ,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,7jKfCxq22iseaXpt4qkRLG4eTiEaRSpUWQKdFWifhn4r,
BRO (TERABRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,KRLKVZL3RVANZCNCJKK4NALE7M2QAV576LI2MUA7KMB4FCRUS7DJDGYUG4,
BRO (TERABRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,JY3MVXOG6QOJU6FO2B2WIWOW7PZA6KGKJOYWJ2PK77RPYP4A7LPCV6WLNE,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,4J92gLwunPCnCLWuV5Jc7LqrTyNjVZvqCaAH6rRvs7Gd,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,F14MaBwF5m5enGYTdnZV3fWX6fdHXmoZjzSV9DLFENG,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,B3A9HdbLnJkdUYhcMHWhwjoqSE1zAQtfTVMf8KkA8n93,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,DJWSkBevHJ9tmuVuoGZqJjSJrMmEzqp76iSN2GnVHqMF,
BRO (Hey Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x1a1770187eb4DB2b8FDbc60BbEb511D3Eef0018B,
BRO (brodogcoin),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,2moheMVwztNiFQd5mnRiMsT722GMDWMewPRprTA4sbkS,
BRO (BRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,CVc9RwmsQFYhNeAMn8x1qaAzN9BuVVAPXa75ejjTqvyK,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xA00BFA31F2cE6163c5c04053b7A524295bB04444:4meme,
AGNT (ai agent),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,3KCAXXppY46UJJJDfS53ySeLwjuwPbaqq1JCMawSFjnH,
AGENTIC (Agentic Task Markets),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,53anz1VEdThGHPEWryYRkiD5cwXxCNB63RdWxuskEBE3,
ENGINEERING (agentic engineering),Solana Token,@ENGINEERING,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,BHCqsk7WwAw5Evq1HuAib7FGpZTk5yy8KaEkdqT1SoKF,
AGEN (Agentic Shiller),Solana Token,@AGEN,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,4SPWrzDnPnPsHUP65cQzpV2o1maXVPSEwbm5m6EMLMG6,
LOOPHOLE (General Agentic System),Solana Token,@LOOPHOLE,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,6jVziSWXzxfSrFEuS3tJNZRMgn9AX7WgKZQs6b2cuLRm,
AGENT (Agentic AI),Solana Token,@AGENT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,EsnnGNz7i4gHEy7XGhM48HuVrAqXVTctKdSb8SAmUhv,
WAV3 (WAV3 Agentic Music Discovery by Virtuals),Solana Token,@WAV3,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,0x22AD9818BDe8A4583347fcBfaa5E5632B7313328,
ACM (Agentic Capital Markets),Solana Token,@ACM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,AmgYjQ9Em12oeqowgxkPNfpHdqZ6pC7xizQwcg8JwSnS,
ACP (Agentic Coding Patterns),Solana Token,@ACP,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,J9hsu4d4A9Db5vBURTQDwjdgoisH6RLUxrQy14s9qfLt,
AGENTICART (Agentic Art),Solana Token,@AGENTICART,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,4yYRRD6W7hQ7wGe3bWiTo3UkLFN1MfaNWoMV8SV1QP8M,
AOE (Agentic Open Economy),Solana Token,@AOE,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,0x4c4B73378DAA1EC3a3F06c3a2541d3b4623C5387,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,0xAd4Bb1FC93Bf86C27c27e5814f22361B0c3D9dC6,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,9cjyPhxQCJNWA66KiZtFtxh3mTUwSjXorBWcmTuAb2LK,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,2K8H9w9VtpXQ1CsHtBpYTax21UWYaCssnnZRfc1ogere,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,JBrs2DfHP8nFLg11b6aN1X4R25YdeyKjjdjmYxLBEx2B,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,HHm2yRAZAFpRsSD3TybYvpuZkrRAjFGaA8mi6mdUzy6n,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,CTAa5moLnK6fqEKPr2Kx238Eae8pChwRUASKsHtxwPwf,
BRO (TRUST ME BRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,FzW53nh2SGHY7MfNakSAMuK3TyFmBoj7fbJJN4sB3xNa,
BRO (Chicken BRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,Hobe9mtm4YP3PMzYhju6UCxdvHWKcoZhuPfhrjRm11kb,
BRO (BroCoin),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,9qE922iKvkX7uCwTKmMWDC2K5s4MeX4YyAegDDY2vXoE,
BRO (bro terminal),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-12,,H7EMdqPdy6eg5E34yg4YGh3eaMGcXJWmi7powBH9aSte,
AGNT (Codename: Pepe),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,2MaK1P5nk4S4Ko9M2sB33bGTDfqMcoEdxnB5DuKpPmxd,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,6tNwxQVYGErtzvca5HeKU44UitMeArXy7FzTyt8pkU9e,
AGNT (Agentory),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x3a7da4b26458543D87194d84D5b2E6e70a5b9a19,
AGENTIC (The Agentic Era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,Gs9QrDNrPrwALz77UHcW6toNQZwtzcGh3ESerRtfEjSr,
AGENTIC (Agentic Studio),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xd631821e00de29f9cafFA975f9992604e757fC17,
AGENTIC (Agentic AI Era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x5eeaf1B33a31D1cba2dD57d27EB582E1b6DA4444:4meme,
AGENTIC (Agentic Studio),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x4B199fFc254B3C2ba4d6fDa3eF87362bB51585FC,
AS (Agentic Skil),Solana Token,@AS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x068387f02f3DFC20920466591fcbc7d5b7B41bb3,
AS26 (Agentic Summer  2026),Solana Token,@AS26,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x93c4a9e316b54e99001b68a7c64f1d0d9922a67c7612a45fdf7bfd6c00fea9e0,
AGENTIC THE WORLD (Agentic the world ),Solana Token,@AGENTIC THE WORLD,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xd6ae0DAd9E462968a961F14A534084E824EF4444:4meme,
AGENTIC THE WORLD (Agentic the world ),Solana Token,@AGENTIC THE WORLD,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x6f25eB9cE4D4b19437aa8A6e3aE59D139F9a4444:4meme,
CORA (Coragentic),Solana Token,@CORA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xa27D9646a8C94E2A7d7502A65F49343ACeafDF59,
CORA (Coragentic),Solana Token,@CORA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x9Ba4A8225102100F0AE5dF601a99225294d503a9,
ELGNT (ElizaAgentic),Solana Token,@ELGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x09aC3CB9504B18854cD3216f221e04eDD216904f,
CORA (Coragentic),Solana Token,@CORA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xd8227c7e269e42a6f05d6bccbeca921fbb78c3b029b963d37769914ba9595984,
AGENTICA (Agentica),Solana Token,@AGENTICA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,5V1fP4zfZMMkS9bgnjQrSCapQLrbfDprPJHLdiR9mZU5,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xb6c410872DcC111Ca8342d7db0358F8C2A89A980,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0x0678A667cF25eAd228Df4cb2c1a7e9551C834a78,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,832ncmyFBS9aetidm1mDP2UWLLLJus4XVru6Y3GPV5HB,
BRO (big bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,H4ubzuvcxQ2SRiQywuucisueLVYTGkT1HzggmV9wzsZ8,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,Cg1qgHKMiqU3LLthCAAsBq7YfWMzsHQP3fidEnSc26cn,
BRO (big bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,8UjV31wNN882wXRnRukws69Kv3qqTk8q6q9XkENYEQuR,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,0xB093BafCAb2Ec4eB63784dD2Cf7dCB31871DC335,
BRO (lil bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-13,,7N7y3d2z3YfBdAkzKhYQcdaWNwoToZX4Fm7pNVsHTTTg,
AGENTIC (AGENTIC),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,B1t6vxbrWM5kyBXkggAtfL9ZSUcXNmk6ZmUuPoCfWRpY,
AGENTIC (agentic coin),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,6Wewx7PxkvAbB8ijYZuVYbh4JC9TdQ2Gf8TdUzoN78nc,
AGENTIC (Agentic Coin),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,EfH1kZVUhmFMpF26edv5UKu4Vvhp5LCg7XSeqKcLyQ5B,
AGENTIC (agentic coin),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,AgiT6M57XyD8xcXJP5h9eAB38ndgmny59Lq1oDj65YiN,
AGENTIC (agentic coin),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,GLK6M4dqMiH6JgCzsk8CEAqF3ZbykvcXWQvm61AbS4MD,
AGENTIC (Agentic Economy),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,CbbnkshCg71Z7SPGDG1ToBogMcfULuoyLtD2oDz4ssc7,
AGENTIC (Agentic Capital Markets),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,hN8LyRJ9B93EWC81PJ1zwroAobjifJLpvaAQgxE9AMJ,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,9TQDVystzNYTu8x3btnr5ARNZZsig6rZoYBUAfoktUPQ,
AGENTIC (Agentic Solutions),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,81qijjaiNCkGQtbtC1FpYhmCit8vaQwWME8x9Fwy79Fu,
AGENTIC (agentic meme),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,DbRNsHe5uA5j5wUH6XnaJTJJAp21bgPxCVbZ8KvQhUsE,
AGENTIC (Agentic Studio),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0xe3A6b771b6a4df64FfdB8D71A5FE9D5c7AeB1a00,
AGENTICS (Agentics),Solana Token,@AGENTICS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0x732aaa99c099b5e99fe738ef16e040875fee721fc07fed0a5b4a90c6dd7a1f9b,
LOBSTER (The Agentic Computer),Solana Token,@LOBSTER,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0x767722b58a085bbcb9f917b64d249e834e3abf311fc0c3078656d898e9bb2d45,
MOLTXAGENT (Moltx Agentic),Solana Token,@MOLTXAGENT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0xa9e415be3bf4de70bf689d521baa1282db38a0f16b79abd2aec10684d4382d57,
LOBSTER (The Agentic Computer),Solana Token,@LOBSTER,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0xe58bec897bc455ce421f7bf1ab233be34a001508cb83e40958dd4a1b10e5d47f,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0x05B976914CD0dE2E033cb3c112db06A051d32816,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0xA0717c662127e8FCA5bF77a0D40c42C132c5aD32,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,0xEedb64ab005C1d0D53a99f48b80E78d4a7b23384,
BRO (bro the cat),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,EiBC4cTLqWmcYL1CqgPpRq58R9xa9GLnyBvmAbHgjhCd,
BRO (bro the cat),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-14,,FNnzVaw4zApGhvZtSuqcEErFKMMDjJ1NpYsHbmEJaQac,
AGNT (Agent Markets),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,2Aj1sbRpwFnUQpcjid8YDLKWoT6h4adSfXK1zhb6hW9e,
AGNTCMONEY (agenticmoney),Solana Token,@AGNTCMONEY,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xf640b271f9acd60d97feab5d01504835e3b3d97479fa27eaa9ddf9764e54481b,
AGENTIC (Agentic Solutions),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,5Z71YVAqtUDAS24PsxYDN58r2zk8fez6hJqLnZXwVXei,
AGENTIC CLAW (Agentic Claw),Solana Token,@AGENTIC CLAW,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xc8c610AFDC33E8274142852dB81769690A150541,
AIFXUSD (fxUSD Agentic Stablecoin),Solana Token,@AIFXUSD,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0x8ae5eb0e59c5742061fae9f64c6e1fd12a564216e265723e7990556009b87718,
GBRAIN (GBrain (Agentic Brain)),Solana Token,@GBRAIN,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,3zgw8cdAMbqRHjGpv4nVAjixSV9nj2LzgUUJkUKRaQ1e,
WAV3 (WAV.3 AGENTIC MUSIC DISCOVERY by Virtuals),Solana Token,@WAV3,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0x97727c695319BCe9302e28aD0961eCB5E8aacb1B,
AGENTIC CZ (Agentic CZ),Solana Token,@AGENTIC CZ,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xA111f5206AfDe7d9DA42F9edEC48F54afe44275D,
ACM (Agentic Capital Markets),Solana Token,@ACM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,7fFHrXyQrpa1WUbmxxbZsJLFqtiyRvh4Fmt7czaUDvTZ,
ACM (Agentic Capital Markets),Solana Token,@ACM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,DkGmz2BhLU1NE1X4N6xi5Z6TLWch5vUCeHB3wqgDU9ns,
ACHAD (Agentic Chad),Solana Token,@ACHAD,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xe8AC17f2E1Ed62E4e2c3F1cA23473dF671884444:4meme,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,FuQrzyxhQzeJnW954FuMNn2BSWCq6fZFa4JFZRaUDzcT,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xCc93DBdFB9837642b21CdA73Fa05E394d051ad8D,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0x9C7C21B1b21982749Fc541c12D4E588567Ad15dB,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,2d6fNd5n7rHTnjEwim4zTJw7YpdZRoB37Uf7MhS9uPFQ,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,H4m6XnMeqKEer1Y8kaWjzjrXt31FYhDULiyLYLZBqRQe,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0xFeF2fb8C1eE70e3eE18336D9a18211d5e3780D5f,
BRO (Neurobro by Virtuals),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,0x5F421797538F113510678b0C0EDC99d27B23d4C2,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,5KLfQSWQuuRMLPEThXH82tafwdbPQ1RoMxGz3e9yoALY,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-15,,BjyDqv9xqt3thiAkZEED28mbCkzxBqyfDwgNwwzxciT7,
